numeroPedido,clienteId,fechaEntrega,estado,zonaEntrega,requiereRefrigeracion
X00000001,CLI-666,2099-06-15,PENDIENTE,ZONA2,false
X00000002,CLI-67,2099-06-15,PENDIENTE,ZONA404,false
X00000003,CLI-123,2099-06-15,PENDIENTE,ZONA2,true
X00000004,CLI-999,2015-01-01,PENDIENTE,ZONA1,false
X00000005,CLI-67,2099-06-15,ANULADO,ZONA2,false
NOPE-0000006,CLI-123,2099-06-15,PENDIENTE,ZONA3,false
NOPE-0000006,CLI-NOEXISTE,2015-01-01,ANULADO,ZONA404,true
X00000008,CLI-NOEXISTE,2099-06-15,PENDIENTE,ZONA1,false
X00000009,CLI-666,2099-06-15,PENDIENTE,ZONA2,false
X00000010,CLI-999,2099-06-15,PENDIENTE,ZONA404,false
X00000011,CLI-67,2099-06-15,PENDIENTE,ZONA5,true
X00000012,CLI-123,2015-01-01,PENDIENTE,ZONA1,false
X00000013,CLI-999,2099-06-15,ANULADO,ZONA2,false
NOPE-0000014,CLI-67,2099-06-15,PENDIENTE,ZONA3,false
NOPE-0000014,CLI-NOEXISTE,2015-01-01,ANULADO,ZONA404,true
X00000016,CLI-NOEXISTE,2099-06-15,PENDIENTE,ZONA1,false
X00000017,CLI-666,2099-06-15,PENDIENTE,ZONA2,false
X00000018,CLI-123,2099-06-15,PENDIENTE,ZONA404,false
X00000019,CLI-999,2099-06-15,PENDIENTE,ZONA2,true
X00000020,CLI-67,2015-01-01,PENDIENTE,ZONA1,false
X00000021,CLI-123,2099-06-15,ANULADO,ZONA2,false
NOPE-0000022,CLI-999,2099-06-15,PENDIENTE,ZONA3,false
NOPE-0000022,CLI-NOEXISTE,2015-01-01,ANULADO,ZONA404,true
X00000024,CLI-NOEXISTE,2099-06-15,PENDIENTE,ZONA1,false
X00000025,CLI-666,2099-06-15,PENDIENTE,ZONA2,false
X00000026,CLI-67,2099-06-15,PENDIENTE,ZONA404,false
X00000027,CLI-123,2099-06-15,PENDIENTE,ZONA5,true
X00000028,CLI-999,2015-01-01,PENDIENTE,ZONA1,false
X00000029,CLI-67,2099-06-15,ANULADO,ZONA2,false
NOPE-0000030,CLI-123,2099-06-15,PENDIENTE,ZONA3,false
NOPE-0000030,CLI-NOEXISTE,2015-01-01,ANULADO,ZONA404,true
X00000032,CLI-NOEXISTE,2099-06-15,PENDIENTE,ZONA1,false
X00000033,CLI-666,2099-06-15,PENDIENTE,ZONA2,false
X00000034,CLI-999,2099-06-15,PENDIENTE,ZONA404,false
X00000035,CLI-67,2099-06-15,PENDIENTE,ZONA2,true
X00000036,CLI-123,2015-01-01,PENDIENTE,ZONA1,false
X00000037,CLI-999,2099-06-15,ANULADO,ZONA2,false
NOPE-0000038,CLI-67,2099-06-15,PENDIENTE,ZONA3,false
NOPE-0000038,CLI-NOEXISTE,2015-01-01,ANULADO,ZONA404,true
X00000040,CLI-NOEXISTE,2099-06-15,PENDIENTE,ZONA1,false
X00000041,CLI-666,2099-06-15,PENDIENTE,ZONA2,false
X00000042,CLI-123,2099-06-15,PENDIENTE,ZONA404,false
X00000043,CLI-999,2099-06-15,PENDIENTE,ZONA5,true
X00000044,CLI-67,2015-01-01,PENDIENTE,ZONA1,false
X00000045,CLI-123,2099-06-15,ANULADO,ZONA2,false
NOPE-0000046,CLI-999,2099-06-15,PENDIENTE,ZONA3,false
NOPE-0000046,CLI-NOEXISTE,2015-01-01,ANULADO,ZONA404,true
X00000048,CLI-NOEXISTE,2099-06-15,PENDIENTE,ZONA1,false
X00000049,CLI-666,2099-06-15,PENDIENTE,ZONA2,false
X00000050,CLI-67,2099-06-15,PENDIENTE,ZONA404,false
X00000051,CLI-123,2099-06-15,PENDIENTE,ZONA2,true
X00000052,CLI-999,2015-01-01,PENDIENTE,ZONA1,false
X00000053,CLI-67,2099-06-15,ANULADO,ZONA2,false
NOPE-0000054,CLI-123,2099-06-15,PENDIENTE,ZONA3,false
NOPE-0000054,CLI-NOEXISTE,2015-01-01,ANULADO,ZONA404,true
X00000056,CLI-NOEXISTE,2099-06-15,PENDIENTE,ZONA1,false
X00000057,CLI-666,2099-06-15,PENDIENTE,ZONA2,false
X00000058,CLI-999,2099-06-15,PENDIENTE,ZONA404,false
X00000059,CLI-67,2099-06-15,PENDIENTE,ZONA5,true
X00000060,CLI-123,2015-01-01,PENDIENTE,ZONA1,false
X00000061,CLI-999,2099-06-15,ANULADO,ZONA2,false
NOPE-0000062,CLI-67,2099-06-15,PENDIENTE,ZONA3,false
NOPE-0000062,CLI-NOEXISTE,2015-01-01,ANULADO,ZONA404,true
X00000064,CLI-NOEXISTE,2099-06-15,PENDIENTE,ZONA1,false
X00000065,CLI-666,2099-06-15,PENDIENTE,ZONA2,false
X00000066,CLI-123,2099-06-15,PENDIENTE,ZONA404,false
X00000067,CLI-999,2099-06-15,PENDIENTE,ZONA2,true
X00000068,CLI-67,2015-01-01,PENDIENTE,ZONA1,false
X00000069,CLI-123,2099-06-15,ANULADO,ZONA2,false
NOPE-0000070,CLI-999,2099-06-15,PENDIENTE,ZONA3,false
NOPE-0000070,CLI-NOEXISTE,2015-01-01,ANULADO,ZONA404,true
X00000072,CLI-NOEXISTE,2099-06-15,PENDIENTE,ZONA1,false
X00000073,CLI-666,2099-06-15,PENDIENTE,ZONA2,false
X00000074,CLI-67,2099-06-15,PENDIENTE,ZONA404,false
X00000075,CLI-123,2099-06-15,PENDIENTE,ZONA5,true
X00000076,CLI-999,2015-01-01,PENDIENTE,ZONA1,false
X00000077,CLI-67,2099-06-15,ANULADO,ZONA2,false
NOPE-0000078,CLI-123,2099-06-15,PENDIENTE,ZONA3,false
NOPE-0000078,CLI-NOEXISTE,2015-01-01,ANULADO,ZONA404,true
X00000080,CLI-NOEXISTE,2099-06-15,PENDIENTE,ZONA1,false
X00000081,CLI-666,2099-06-15,PENDIENTE,ZONA2,false
X00000082,CLI-999,2099-06-15,PENDIENTE,ZONA404,false
X00000083,CLI-67,2099-06-15,PENDIENTE,ZONA2,true
X00000084,CLI-123,2015-01-01,PENDIENTE,ZONA1,false
X00000085,CLI-999,2099-06-15,ANULADO,ZONA2,false
NOPE-0000086,CLI-67,2099-06-15,PENDIENTE,ZONA3,false
NOPE-0000086,CLI-NOEXISTE,2015-01-01,ANULADO,ZONA404,true
X00000088,CLI-NOEXISTE,2099-06-15,PENDIENTE,ZONA1,false
X00000089,CLI-666,2099-06-15,PENDIENTE,ZONA2,false
X00000090,CLI-123,2099-06-15,PENDIENTE,ZONA404,false
X00000091,CLI-999,2099-06-15,PENDIENTE,ZONA5,true
X00000092,CLI-67,2015-01-01,PENDIENTE,ZONA1,false
X00000093,CLI-123,2099-06-15,ANULADO,ZONA2,false
NOPE-0000094,CLI-999,2099-06-15,PENDIENTE,ZONA3,false
NOPE-0000094,CLI-NOEXISTE,2015-01-01,ANULADO,ZONA404,true
X00000096,CLI-NOEXISTE,2099-06-15,PENDIENTE,ZONA1,false
X00000097,CLI-666,2099-06-15,PENDIENTE,ZONA2,false
X00000098,CLI-67,2099-06-15,PENDIENTE,ZONA404,false
X00000099,CLI-123,2099-06-15,PENDIENTE,ZONA2,true
X00000100,CLI-999,2015-01-01,PENDIENTE,ZONA1,false
X00000101,CLI-67,2099-06-15,ANULADO,ZONA2,false
NOPE-0000102,CLI-123,2099-06-15,PENDIENTE,ZONA3,false
NOPE-0000102,CLI-NOEXISTE,2015-01-01,ANULADO,ZONA404,true
X00000104,CLI-NOEXISTE,2099-06-15,PENDIENTE,ZONA1,false
X00000105,CLI-666,2099-06-15,PENDIENTE,ZONA2,false
X00000106,CLI-999,2099-06-15,PENDIENTE,ZONA404,false
X00000107,CLI-67,2099-06-15,PENDIENTE,ZONA5,true
X00000108,CLI-123,2015-01-01,PENDIENTE,ZONA1,false
X00000109,CLI-999,2099-06-15,ANULADO,ZONA2,false
NOPE-0000110,CLI-67,2099-06-15,PENDIENTE,ZONA3,false
NOPE-0000110,CLI-NOEXISTE,2015-01-01,ANULADO,ZONA404,true
X00000112,CLI-NOEXISTE,2099-06-15,PENDIENTE,ZONA1,false
X00000113,CLI-666,2099-06-15,PENDIENTE,ZONA2,false
X00000114,CLI-123,2099-06-15,PENDIENTE,ZONA404,false
X00000115,CLI-999,2099-06-15,PENDIENTE,ZONA2,true
X00000116,CLI-67,2015-01-01,PENDIENTE,ZONA1,false
X00000117,CLI-123,2099-06-15,ANULADO,ZONA2,false
NOPE-0000118,CLI-999,2099-06-15,PENDIENTE,ZONA3,false
NOPE-0000118,CLI-NOEXISTE,2015-01-01,ANULADO,ZONA404,true
X00000120,CLI-NOEXISTE,2099-06-15,PENDIENTE,ZONA1,false
X00000121,CLI-666,2099-06-15,PENDIENTE,ZONA2,false
X00000122,CLI-67,2099-06-15,PENDIENTE,ZONA404,false
X00000123,CLI-123,2099-06-15,PENDIENTE,ZONA5,true
X00000124,CLI-999,2015-01-01,PENDIENTE,ZONA1,false
X00000125,CLI-67,2099-06-15,ANULADO,ZONA2,false
NOPE-0000126,CLI-123,2099-06-15,PENDIENTE,ZONA3,false
NOPE-0000126,CLI-NOEXISTE,2015-01-01,ANULADO,ZONA404,true
X00000128,CLI-NOEXISTE,2099-06-15,PENDIENTE,ZONA1,false
X00000129,CLI-666,2099-06-15,PENDIENTE,ZONA2,false
X00000130,CLI-999,2099-06-15,PENDIENTE,ZONA404,false
X00000131,CLI-67,2099-06-15,PENDIENTE,ZONA2,true
X00000132,CLI-123,2015-01-01,PENDIENTE,ZONA1,false
X00000133,CLI-999,2099-06-15,ANULADO,ZONA2,false
NOPE-0000134,CLI-67,2099-06-15,PENDIENTE,ZONA3,false
NOPE-0000134,CLI-NOEXISTE,2015-01-01,ANULADO,ZONA404,true
